cell_cycle_GO:0007049,extracellular_matrix_GO:0031012,epithelial_to_mesencyhmal_transition_GO:0001837,lipid_catabolic_process_GO:0016042,canonical_glycolysis_GO:0061621,glycolytic_process_GO:0006096,glucose_catabolic_process_GO:0006007,tricarboxylic_acid_cycle_GO:0006099,oxidative_phosphorylation_GO:0006119,fatty_acid_oxidation_GO:0019395,regulation_of_pyruvate_kinase_activity_GO.1903301,regulation_of_glucose_catabolic_process_to_lactate_via_pyruvate_GO.1904023,regulation_of_lipid_storage_GO.0010883,fatty_acid_homeostasis_GO.0055089,glucose_transmembrane_transport_GO.1904659,long-chain_fatty_acid_import_into_cell_GO.0044539,malonyl-CoA_metabolic_process_GO.2001293,response_to_unfolded_protein_GO.0006986,cellular_response_to_hypoxia_GO.0071456,response_to_type_I_interferon_GO.0034340
Pim3,Otol1,Snai1,Apob,,,,,,Nucb2,,,,,Yes1,,,Tbl2,,
Pim3,Otol1,Snai1,Apob,,,,,,Obp2a,,,,,Zdhhc7,,,Thbs1,,
Cdc16,Otol1,Snai1,Apoc1,,,,,,Pdk4,,,,,,,,Thbs4,,
Cdc16,Col6a4,Tasor,Apoc2,,,,,,Pex2,,,,,,,,Tm7sf3,,
Cdc16,Col6a4,Dag1,Apoc2,,,,,,Pex5,,,,,,,,Tm7sf3,,
Tunar,Col6a4,Eng,Apoc2,,,,,,Pex5,,,,,,,,Tmbim6,,
Trrap,Atrn,Eng,Apoc3,,,,,,Pex7,,,,,,,,Tmbim6,,
Top3a,Snorc,Eng,Apoc3,,,,,,Pex13,,,,,,,,Tmbim6,,
Ahr,Bmper,Eng,Apoc3,,,,,,Phyh,,,,,,,,Tmed2,,
Bcl2l11,Bmper,Rbpj,Apoe,,,,,,Phyh,,,,,,,,Tmem33,,
Bcl2l11,Bmper,Rbpj,Apoe,,,,,,Phyh,,,,,,,,Tmem33,,
Limk2,Col20a1,Hpn,Apoh,,,,,,Phyh,,,,,,,,Tmem129,,
Atf5,Postn,Hpn,Asah1,,,,,,Plin5,,,,,,,,Tmtc4,,
Atf5,Postn,Efna1,Asah1,,,,,,Plin5,,,,,,,,Ube2j2,,
Atf5,Postn,Efna1,Asah1,,,,,,Plin5,,,,,,,,Ubxn4,,
Pagr1b,Postn,Hdac2,Asah2,,,,,,Plin5,,,,,,,,Ufl1,,
Men1,Postn,Spry1,Asah2,,,,,,Por,,,,,,,,Umod,,
Men1,Postn,Foxa2,Asah2,,,,,,Ppara,,,,,,,,Umod,,
Men1,Postn,Foxa1,Asah2,,,,,,Ppard,,,,,,,,Upf2,,
Men1,Postn,Foxc1,Asah2,,,,,,Ppard,,,,,,,,Upf3a,,
Men1,Postn,Rtn4,Aspg,,,,,,Pparg,,,,,,,,Upf3b,,
Gspt2,Podnl1,Gcnt2,Auh,,,,,,Pparg,,,,,,,,Vapb,,
Kif2b,Ntn5,Gcnt2,Bco1,,,,,,Ppargc1a,,,,,,,,Vapb,,
Kif2b,Col28a1,Mdk,Bco2,,,,,,Prkaa1,,,,,,,,Vapb,,
Aif1,Col28a1,Nog,Bco2,,,,,,Scp2,,,,,,,,Wfs1,,
Kat2b,Col28a1,Nog,Bco2,,,,,,Sesn2,,,,,,,,Wfs1,,
Kat2b,Col28a1,Spred3,Bdh2,,,,,,Sirt4,,,,,,,,Wfs1,,
Kat2b,Col28a1,Il6,Bglap2,,,,,,Sirt4,,,,,,,,Wfs1,,
Hdac3,Col28a1,Il1b,Bscl2,,,,,,Sirt4,,,,,,,,Wfs1,,
Hdac3,Col28a1,Eomes,Bscl2,,,,,,Slc25a17,,,,,,,,Xbp1,,
Pum1,Col28a1,Pofut2,Bscl2,,,,,,Slc27a2,,,,,,,,Xbp1,,
Camk1,Col28a1,Dab2ip,Cdk4,,,,,,Slc27a2,,,,,,,,Xbp1,,
Gipc1,Col28a1,Loxl2,Cel,,,,,,Sox9,,,,,,,,Xbp1,,
Gmnc,Lgalsl,Loxl2,Cel,,,,,,Twist1,,,,,,,,Xbp1,,
Gmnc,Muc1,Pten,Cel,,,,,,Tysnd1,,,,,,,,Xbp1,,
Psma8,Cspg4,Zfp703,Ces1a,,,,,,Tysnd1,,,,,,,,Xbp1,,
Psma8,Cspg4,Spry2,Ces1b,,,,,,,,,,,,,,Xbp1,,
Psma8,Alpl,Tgfb1i1,Ces1c,,,,,,,,,,,,,,Xbp1,,
Psma8,Agrn,Rflnb,Ces1d,,,,,,,,,,,,,,Yod1,,
Nuggc,Agrn,Lef1,Ces1d,,,,,,,,,,,,,,Yod1,,
Dnmt3c,Agrn,Lef1,Ces1d,,,,,,,,,,,,,,Yod1,,
Dnmt3c,Agrn,Mtor,Ces1d,,,,,,,,,,,,,,,,
Zbed6,Agrn,Pdcd6,Ces1d,,,,,,,,,,,,,,,,
Zbed6,Agrn,Ager,Ces1e,,,,,,,,,,,,,,,,
Epb41,Agrn,Col1a1,Ces1f,,,,,,,,,,,,,,,,
Washc1,Agrn,Dlg5,Ces1f,,,,,,,,,,,,,,,,
Washc1,Agrn,Bmp4,Ces1g,,,,,,,,,,,,,,,,
Nras,Smoc1,Bmp4,Ces1h,,,,,,,,,,,,,,,,
Npr2,Smoc1,Nfatc1,Ces2a,,,,,,,,,,,,,,,,
Cenps,Phospho1,Has2,Ces2b,,,,,,,,,,,,,,,,
Cenps,Phospho1,Ldlrad4,Ces2c,,,,,,,,,,,,,,,,
Fbxw7,Serpinc1,Trim28,Ces2e,,,,,,,,,,,,,,,,
Nppc,Ntng1,Smad7,Ces2f,,,,,,,,,,,,,,,,
Nppc,Angptl6,Sdcbp,Ces2g,,,,,,,,,,,,,,,,
Notch2,Col23a1,Loxl3,Ces2h,,,,,,,,,,,,,,,,
Notch1,Col23a1,Hnrnpab,Ces3a,,,,,,,,,,,,,,,,
Nabp2,Col23a1,,Ces3b,,,,,,,,,,,,,,,,
Nabp2,Col23a1,,Ces4a,,,,,,,,,,,,,,,,
Ajuba,Mmp9,,Ces5a,,,,,,,,,,,,,,,,
Nkx3-1,Mmp9,,Cidea,,,,,,,,,,,,,,,,
Nkx3-1,Mmp3,,Cidea,,,,,,,,,,,,,,,,
Nkx3-1,Mmp2,,Clps,,,,,,,,,,,,,,,,
Stk11,Mmp11,,Clps,,,,,,,,,,,,,,,,
Stk11,Mmp11,,Clpsl2,,,,,,,,,,,,,,,,
Dmtf1,Mmp10,,Cnr1,,,,,,,,,,,,,,,,
Aunip,Mmp12,,Cps1,,,,,,,,,,,,,,,,
Aunip,Ccbe1,,Cpt1a,,,,,,,,,,,,,,,,
Rb1cc1,Ccn1,,Cpt2,,,,,,,,,,,,,,,,
Cdk9,Ccn1,,Cpt2,,,,,,,,,,,,,,,,
Smarcb1,Mmp1b,,Crabp1,,,,,,,,,,,,,,,,
Ccnt1,Amtn,,Crat,,,,,,,,,,,,,,,,
Blm,Amtn,,Crot,,,,,,,,,,,,,,,,
Blm,Amtn,,Crtc3,,,,,,,,,,,,,,,,
Exd1,Amtn,,Cyp1a2,,,,,,,,,,,,,,,,
Ankk1,Amtn,,Cyp1b1,,,,,,,,,,,,,,,,
Ankk1,Amtn,,Cyp2w1,,,,,,,,,,,,,,,,
Mcmbp,Prss1,,Cyp4f14,,,,,,,,,,,,,,,,
Mcmbp,Trf,,Cyp4f14,,,,,,,,,,,,,,,,
Unc119,Ogn,,Cyp4f15,,,,,,,,,,,,,,,,
Unc119,Ogn,,Cyp4f15,,,,,,,,,,,,,,,,
Rad9a,Ogn,,Cyp4f18,,,,,,,,,,,,,,,,
Rad9a,Ogn,,Cyp4f18,,,,,,,,,,,,,,,,
Rad9a,Col24a1,,Cyp4f40,,,,,,,,,,,,,,,,
Rad9a,Col24a1,,Cyp7a1,,,,,,,,,,,,,,,,
Rad9a,Col24a1,,Cyp7a1,,,,,,,,,,,,,,,,
Wfs1,Col24a1,,Cyp19a1,,,,,,,,,,,,,,,,
Mark4,Col24a1,,Cyp24a1,,,,,,,,,,,,,,,,
Mark4,Col24a1,,Cyp24a1,,,,,,,,,,,,,,,,
Orc1,Ctsl,,Cyp24a1,,,,,,,,,,,,,,,,
Orc1,Ctsd,,Cyp26a1,,,,,,,,,,,,,,,,
Paxip1,Ctsb,,Cyp26a1,,,,,,,,,,,,,,,,
Gm2030,Ctsb,,Cyp26a1,,,,,,,,,,,,,,,,
Cdk2ap2,Chadl,,Cyp26b1,,,,,,,,,,,,,,,,
Gm2012,Chadl,,Cyp26b1,,,,,,,,,,,,,,,,
Gm21117,Chadl,,Cyp26b1,,,,,,,,,,,,,,,,
Gm1993,Mmp16,,Cyp26c1,,,,,,,,,,,,,,,,
Ctdsp2,Gpc6,,Cyp27a1,,,,,,,,,,,,,,,,
Mir744,Adamts5,,Cyp27b1,,,,,,,,,,,,,,,,
Meikin,Adamts5,,Cyp27b1,,,,,,,,,,,,,,,,
Meikin,Adamtsl5,,Cyp27b1,,,,,,,,,,,,,,,,
Meikin,Adamtsl5,,Cyp39a1,,,,,,,,,,,,,,,,
Meikin,Adamtsl5,,Cyp39a1,,,,,,,,,,,,,,,,
Meikin,Adamtsl5,,Cyp46a1,,,,,,,,,,,,,,,,
Meikin,Adamtsl5,,Cyp46a1,,,,,,,,,,,,,,,,
Meikin,Thsd4,,Cyp46a1,,,,,,,,,,,,,,,,
Meikin,Thsd4,,Cyp46a1,,,,,,,,,,,,,,,,
Meikin,Thsd4,,Dagla,,,,,,,,,,,,,,,,
Meikin,Creld2,,Dagla,,,,,,,,,,,,,,,,
Meikin,Nyx,,Daglb,,,,,,,,,,,,,,,,
Gm773,Otogl,,Daglb,,,,,,,,,,,,,,,,
Senp6,Ssc5d,,Dbi,,,,,,,,,,,,,,,,
Senp6,Ssc5d,,Ddhd1,,,,,,,,,,,,,,,,
Tpr,Lrrc32,,Ddhd2,,,,,,,,,,,,,,,,
Tpr,Egflam,,Ddhd2,,,,,,,,,,,,,,,,
Tpr,Egflam,,Ddhd2,,,,,,,,,,,,,,,,
Tpr,Egflam,,Decr1,,,,,,,,,,,,,,,,
Tpr,Egflam,,Echdc1,,,,,,,,,,,,,,,,
Tpr,Vwa2,,Echdc2,,,,,,,,,,,,,,,,
Prkce,Vwa2,,Echs1,,,,,,,,,,,,,,,,
Prkce,Vwa2,,Echs1,,,,,,,,,,,,,,,,
Prkcd,Ccdc80,,Eci1,,,,,,,,,,,,,,,,
Prkca,Ccdc80,,Eci1,,,,,,,,,,,,,,,,
Prkacb,Ccdc80,,Eci1,,,,,,,,,,,,,,,,
Prkaca,Eln,,Eci2,,,,,,,,,,,,,,,,
Prkaca,Eln,,Eci2,,,,,,,,,,,,,,,,
Tom1l2,Eln,,Eci2,,,,,,,,,,,,,,,,
Pim2,Eln,,Eci3,,,,,,,,,,,,,,,,
Pim2,Eln,,Ehhadh,,,,,,,,,,,,,,,,
Pim2,Eln,,Ehhadh,,,,,,,,,,,,,,,,
Cep44,Cela2a,,Ehhadh,,,,,,,,,,,,,,,,
Cep44,Cela1,,Ehhadh,,,,,,,,,,,,,,,,
Cep44,Scara3,,Ehhadh,,,,,,,,,,,,,,,,
Abcb1a,Scara3,,Enpp2,,,,,,,,,,,,,,,,
E2f8,Frem2,,Enpp2,,,,,,,,,,,,,,,,
E2f8,Frem2,,Enpp2,,,,,,,,,,,,,,,,
E2f8,Frem2,,Enpp2,,,,,,,,,,,,,,,,
E2f8,Frem2,,Enpp2,,,,,,,,,,,,,,,,
E2f8,Olfml2b,,Enpp2,,,,,,,,,,,,,,,,
E2f8,Olfml2b,,Enpp2,,,,,,,,,,,,,,,,
Pdgfrb,Optc,,Enpp6,,,,,,,,,,,,,,,,
Ect2,Optc,,Enpp7,,,,,,,,,,,,,,,,
Ect2,Pxdn,,Enpp7,,,,,,,,,,,,,,,,
Ect2,Pxdn,,Etfa,,,,,,,,,,,,,,,,
Ect2,Pxdn,,Etfa,,,,,,,,,,,,,,,,
Ect2,Pxdn,,Etfb,,,,,,,,,,,,,,,,
Ect2,Pxdn,,Etfb,,,,,,,,,,,,,,,,
Mapk12,Pxdn,,Etfbkmt,,,,,,,,,,,,,,,,
Mapk12,Pxdn,,Etfbkmt,,,,,,,,,,,,,,,,
Stard9,Fga,,Etfdh,,,,,,,,,,,,,,,,
Cdk18,Fga,,Faah,,,,,,,,,,,,,,,,
Cdk17,Fga,,Faah,,,,,,,,,,,,,,,,
Cdk16,Fga,,Faah,,,,,,,,,,,,,,,,
Kif23,Serpine2,,Fabp1,,,,,,,,,,,,,,,,
Kif23,Efemp1,,Fgf21,,,,,,,,,,,,,,,,
Kif23,Efemp1,,Fgf23,,,,,,,,,,,,,,,,
Kif23,Efemp1,,Fmc1,,,,,,,,,,,,,,,,
Kif23,Efemp1,,Galc,,,,,,,,,,,,,,,,
Kif23,Efemp1,,Galc,,,,,,,,,,,,,,,,
Slc26a8,Tnxb,,Galc,,,,,,,,,,,,,,,,
Abl1,Tnxb,,Galc,,,,,,,,,,,,,,,,
Abl1,Tnxb,,Galc,,,,,,,,,,,,,,,,
Abl1,Tnxb,,Galc,,,,,,,,,,,,,,,,
Abl1,Angptl2,,Gba,,,,,,,,,,,,,,,,
Ddx39b,Anxa11,,Gba,,,,,,,,,,,,,,,,
Pkd2,Anxa11,,Gba,,,,,,,,,,,,,,,,
Pkd2,Angpt1,,Gba,,,,,,,,,,,,,,,,
Pkd2,Col5a3,,Gba,,,,,,,,,,,,,,,,
Pkd2,Col5a3,,Gba2,,,,,,,,,,,,,,,,
Alms1,Col5a3,,Gba2,,,,,,,,,,,,,,,,
Zfy2,Col5a3,,Gba2,,,,,,,,,,,,,,,,
Ikzf1,Col5a3,,Gcdh,,,,,,,,,,,,,,,,
Smc5,Col5a3,,Gcdh,,,,,,,,,,,,,,,,
Smc5,Col5a3,,Gdpd1,,,,,,,,,,,,,,,,
Smc5,Col5a3,,Gdpd3,,,,,,,,,,,,,,,,
Smc5,Col5a3,,Gdpd3,,,,,,,,,,,,,,,,
Kif18a,Lrrc3b,,Gla,,,,,,,,,,,,,,,,
Kif18a,Thbs3,,Gla,,,,,,,,,,,,,,,,
Kif18a,Adamts12,,Gla,,,,,,,,,,,,,,,,
Kif18a,Plod1,,Gla,,,,,,,,,,,,,,,,
Gm14525,Serpinf1,,Gm2a,,,,,,,,,,,,,,,,
Dstn,Fbln5,,Gm2a,,,,,,,,,,,,,,,,
Ecd,Fbln5,,Gm28042,,,,,,,,,,,,,,,,
Sox9,Fbln5,,Gm49387,,,,,,,,,,,,,,,,
Btg4,Fbln5,,Gpcpd1,,,,,,,,,,,,,,,,
Btg4,Fbln5,,Gpld1,,,,,,,,,,,,,,,,
Tlk1,Fbln5,,Hacl1,,,,,,,,,,,,,,,,
Pld6,Fbln5,,Hacl1,,,,,,,,,,,,,,,,
Pld6,Anxa9,,Hacl1,,,,,,,,,,,,,,,,
Tent4b,Insl5,,Hacl1,,,,,,,,,,,,,,,,
Slc25a33,Col14a1,,Hadh,,,,,,,,,,,,,,,,
Wapl,Col14a1,,Hadh,,,,,,,,,,,,,,,,
Wapl,Col14a1,,Hadha,,,,,,,,,,,,,,,,
Wapl,Col14a1,,Hadha,,,,,,,,,,,,,,,,
Wapl,Col14a1,,Hadha,,,,,,,,,,,,,,,,
Wapl,Col14a1,,Hadhb,,,,,,,,,,,,,,,,
Wapl,Col14a1,,Hadhb,,,,,,,,,,,,,,,,
Wapl,Egfl6,,Hadhb,,,,,,,,,,,,,,,,
Wapl,Egfl6,,Hao1,,,,,,,,,,,,,,,,
Mcm6,Fn1,,Hao1,,,,,,,,,,,,,,,,
Mcm6,Fn1,,Hcar1,,,,,,,,,,,,,,,,
Mcm6,Fn1,,Hcar2,,,,,,,,,,,,,,,,
Lrp6,Fn1,,Hexa,,,,,,,,,,,,,,,,
Npm2,Fn1,,Hexa,,,,,,,,,,,,,,,,
Npm2,Fn1,,Hexa,,,,,,,,,,,,,,,,
Khdc3,Fn1,,Hexa,,,,,,,,,,,,,,,,
Khdc3,Fn1,,Hexb,,,,,,,,,,,,,,,,
Khdc3,Fn1,,Hexb,,,,,,,,,,,,,,,,
Pdcd6ip,Fn1,,Hexb,,,,,,,,,,,,,,,,
Pdcd6ip,Fn1,,Hexb,,,,,,,,,,,,,,,,
Pdcd6ip,Fn1,,Hexb,,,,,,,,,,,,,,,,
Pdcd6ip,Fn1,,Hexb,,,,,,,,,,,,,,,,
Pdcd6ip,Fn1,,Hexb,,,,,,,,,,,,,,,,
Ccnjl,Fn1,,Hexb,,,,,,,,,,,,,,,,
Ccnjl,Fn1,,Hint2,,,,,,,,,,,,,,,,
Xrcc2,Fn1,,Hsd3b7,,,,,,,,,,,,,,,,
Xrcc2,Fn1,,Hsd11b1,,,,,,,,,,,,,,,,
Klhl9,Fn1,,Hsd11b1,,,,,,,,,,,,,,,,
Klhl9,Fn1,,Hsd17b4,,,,,,,,,,,,,,,,
Acvr1b,Fn1,,Hsd17b4,,,,,,,,,,,,,,,,
Rny1,Ccn2,,Hsd17b4,,,,,,,,,,,,,,,,
Crlf3,Ccn2,,Hsd17b6,,,,,,,,,,,,,,,,
Crlf3,Fgg,,Hsd17b10,,,,,,,,,,,,,,,,
Nusap1,Fgg,,Hsd17b11,,,,,,,,,,,,,,,,
Nusap1,Fgg,,Hsd17b14,,,,,,,,,,,,,,,,
Nusap1,Fgg,,Iah1,,,,,,,,,,,,,,,,
Nusap1,Fgg,,Idh1,,,,,,,,,,,,,,,,
Nusap1,Fgfr2,,Il1b,,,,,,,,,,,,,,,,
Nusap1,Mmp7,,Il1b,,,,,,,,,,,,,,,,
Nusap1,Fgf1,,Ilvbl,,,,,,,,,,,,,,,,
Nusap1,Sod3,,Inpp5f,,,,,,,,,,,,,,,,
Nusap1,Sod3,,Ins2,,,,,,,,,,,,,,,,
Ptprc,Sod3,,Ins2,,,,,,,,,,,,,,,,
Ptprc,Vegfa,,Irs1,,,,,,,,,,,,,,,,
Nanos3,Thbs4,,Irs1,,,,,,,,,,,,,,,,
Tbx3,Thbs4,,Irs2,,,,,,,,,,,,,,,,
Evi2b,Thbs4,,Ivd,,,,,,,,,,,,,,,,
Fignl1,Thbs4,,Ldlr,,,,,,,,,,,,,,,,
Fignl1,Thbs4,,Ldlr,,,,,,,,,,,,,,,,
Fign,Thbs4,,Lep,,,,,,,,,,,,,,,,
Gm49601,Col6a6,,Lep,,,,,,,,,,,,,,,,
Donson,Col6a6,,Lgals12,,,,,,,,,,,,,,,,
Donson,Col6a6,,Lipa,,,,,,,,,,,,,,,,
Donson,Serpinb6a,,Lipc,,,,,,,,,,,,,,,,
Stat3,Sparcl1,,Lipc,,,,,,,,,,,,,,,,
Stat3,Sparcl1,,Lipc,,,,,,,,,,,,,,,,
Clic1,P3h2,,Lipc,,,,,,,,,,,,,,,,
Ehmt2,Hrg,,Lipc,,,,,,,,,,,,,,,,
Suv39h2,Ntn3,,Lipe,,,,,,,,,,,,,,,,
Suv39h2,Cd180,,Lipe,,,,,,,,,,,,,,,,
Rassf1,Adam19,,Lipe,,,,,,,,,,,,,,,,
Rassf1,Fcnb,,Lipe,,,,,,,,,,,,,,,,
Rassf1,Rpsa,,Lipe,,,,,,,,,,,,,,,,
Zcwpw1,Rpsa,,Lipe,,,,,,,,,,,,,,,,
Zcwpw1,Muc5b,,Lipe,,,,,,,,,,,,,,,,
Zcwpw1,Wnt11,,Lipf,,,,,,,,,,,,,,,,
Zcwpw1,Mmp17,,Lipg,,,,,,,,,,,,,,,,
Zcwpw1,Lrig2,,Lipg,,,,,,,,,,,,,,,,
Crnn,Vwf,,Liph,,,,,,,,,,,,,,,,
Crnn,Vwf,,Liph,,,,,,,,,,,,,,,,
Ddb1,Vwf,,Liph,,,,,,,,,,,,,,,,
Pdpn,Vwf,,Lipi,,,,,,,,,,,,,,,,
Nsl1,Vwf,,Lipi,,,,,,,,,,,,,,,,
Nsl1,Vwf,,Lipi,,,,,,,,,,,,,,,,
Hjurp,Vwf,,Lipk,,,,,,,,,,,,,,,,
Hecw2,Tinagl1,,Lipm,,,,,,,,,,,,,,,,
Mei4,Tinagl1,,Lipn,,,,,,,,,,,,,,,,
Mei4,Tinagl1,,Lonp2,,,,,,,,,,,,,,,,
Mei4,Tinagl1,,Lpin1,,,,,,,,,,,,,,,,
Mei4,Bmp7,,Lpin1,,,,,,,,,,,,,,,,
Mei4,Itih5,,Lpin2,,,,,,,,,,,,,,,,
Gm960,Itih5,,Lpin3,,,,,,,,,,,,,,,,
Gm960,Chad,,Lpl,,,,,,,,,,,,,,,,
Gm960,Entpd2,,Lpl,,,,,,,,,,,,,,,,
Gm960,Tnr,,Lpl,,,,,,,,,,,,,,,,
Gm960,Tnr,,Lpl,,,,,,,,,,,,,,,,
Ptgs2,Tnr,,Lpl,,,,,,,,,,,,,,,,
Usp47,Tnr,,Lrcol1,,,,,,,,,,,,,,,,
Usp47,Tnr,,Lrp1,,,,,,,,,,,,,,,,
Prox1,Tnr,,Lypla2,,,,,,,,,,,,,,,,
Prox1,Adamtsl3,,Mfsd2a,,,,,,,,,,,,,,,,
Prox1,Ecm2,,Mgll,,,,,,,,,,,,,,,,
Bbs4,Ecm2,,Mgll,,,,,,,,,,,,,,,,
Bbs4,Ecm2,,Mgll,,,,,,,,,,,,,,,,
Bbs4,Rtbdn,,Mgll,,,,,,,,,,,,,,,,
Hdac8,Ndnf,,Mgll,,,,,,,,,,,,,,,,
Hdac8,Ntn4,,Mgll,,,,,,,,,,,,,,,,
Prr5,Ntn4,,Mgst2,,,,,,,,,,,,,,,,
Zfp503,Ntn4,,Mlycd,,,,,,,,,,,,,,,,
Zfp503,Ntn4,,Mt3,,,,,,,,,,,,,,,,
Dmc1,Ntn4,,Mt3,,,,,,,,,,,,,,,,
Dmc1,Tmeff2,,Mtor,,,,,,,,,,,,,,,,
Dmc1,P3h1,,Naaa,,,,,,,,,,,,,,,,
Dmc1,Ccn4,,Naga,,,,,,,,,,,,,,,,
Dmc1,Bcan,,Naga,,,,,,,,,,,,,,,,
Dmc1,Bcan,,Napepld,,,,,,,,,,,,,,,,
Dmc1,Bcan,,Napepld,,,,,,,,,,,,,,,,
Cdkn2c,Bcan,,Nceh1,,,,,,,,,,,,,,,,
Cdkn2c,Cd151,,Neu1,,,,,,,,,,,,,,,,
Cdkn2c,Lrrc17,,Neu1,,,,,,,,,,,,,,,,
Cdkn2c,Tnc,,Neu2,,,,,,,,,,,,,,,,
Cdkn2c,Tnc,,Neu2,,,,,,,,,,,,,,,,
Hspa8,Tnc,,Neu2,,,,,,,,,,,,,,,,
Mcm2,Tnc,,Neu2,,,,,,,,,,,,,,,,
Mcm2,Tnc,,Neu3,,,,,,,,,,,,,,,,
Mcm2,Tnc,,Neu3,,,,,,,,,,,,,,,,
Pggt1b,Tnc,,Neu3,,,,,,,,,,,,,,,,
Cep126,Tnc,,Neu3,,,,,,,,,,,,,,,,
Ran,Tnc,,Neu4,,,,,,,,,,,,,,,,
Ran,Tnc,,Neu4,,,,,,,,,,,,,,,,
Cit,Tnc,,Neu4,,,,,,,,,,,,,,,,
Cit,Tnc,,Neu4,,,,,,,,,,,,,,,,
Cit,Tnc,,Nudt7,,,,,,,,,,,,,,,,
Cit,Tnc,,Obp2a,,,,,,,,,,,,,,,,
Cit,Mmp14,,Oc90,,,,,,,,,,,,,,,,
Cit,Fbn2,,Pafah1b1,,,,,,,,,,,,,,,,
Cit,Fbn2,,Pafah1b2,,,,,,,,,,,,,,,,
Cit,Fbn2,,Pafah1b3,,,,,,,,,,,,,,,,
Cit,Fbn2,,Pafah2,,,,,,,,,,,,,,,,
Ptpn3,Fbn2,,Pafah2,,,,,,,,,,,,,,,,
Stk33,Fbn2,,Pcca,,,,,,,,,,,,,,,,
Hmcn1,Fbn2,,Pck1,,,,,,,,,,,,,,,,
Tubgcp5,Fbn2,,Pck2,,,,,,,,,,,,,,,,
Tubgcp5,Fbn2,,Pde3b,,,,,,,,,,,,,,,,
Tubgcp5,Fbn2,,Pdxdc1,,,,,,,,,,,,,,,,
Ccdc61,Fbn1,,Pex2,,,,,,,,,,,,,,,,
Septin5,Fbn1,,Pex5,,,,,,,,,,,,,,,,
Septin5,Fbn1,,Pex5,,,,,,,,,,,,,,,,
Uxt,Fbn1,,Pex7,,,,,,,,,,,,,,,,
Uxt,Fbn1,,Pex13,,,,,,,,,,,,,,,,
Uxt,Fbn1,,Phyh,,,,,,,,,,,,,,,,
Wdhd1,Fbn1,,Phyh,,,,,,,,,,,,,,,,
Jade1,Fbn1,,Phyh,,,,,,,,,,,,,,,,
Wac,Fbn1,,Phyh,,,,,,,,,,,,,,,,
Rbl2,Fbn1,,Phyh,,,,,,,,,,,,,,,,
Rbl2,Fbn1,,Pik3cg,,,,,,,,,,,,,,,,
Rbl2,Fbn1,,Pla1a,,,,,,,,,,,,,,,,
Mei1,Fbn1,,Pla2g1b,,,,,,,,,,,,,,,,
Mei1,Fbn1,,Pla2g1b,,,,,,,,,,,,,,,,
Mei1,Fbn1,,Pla2g2c,,,,,,,,,,,,,,,,
Mei1,Fbn1,,Pla2g2c,,,,,,,,,,,,,,,,
Mei1,Fbn1,,Pla2g2c,,,,,,,,,,,,,,,,
Mei1,Fbln2,,Pla2g2d,,,,,,,,,,,,,,,,
Daxx,Fbln2,,Pla2g2e,,,,,,,,,,,,,,,,
Birc2,Fbln2,,Pla2g2f,,,,,,,,,,,,,,,,
Birc2,Fbln2,,Pla2g2f,,,,,,,,,,,,,,,,
Appl1,Fbln2,,Pla2g4a,,,,,,,,,,,,,,,,
Appl1,Fbln1,,Pla2g4a,,,,,,,,,,,,,,,,
Gnai3,Fbln1,,Pla2g4a,,,,,,,,,,,,,,,,
Gnai2,Fbln1,,Pla2g4a,,,,,,,,,,,,,,,,
Gnai1,Fbln1,,Pla2g4a,,,,,,,,,,,,,,,,
Gnai1,Fbln1,,Pla2g4a,,,,,,,,,,,,,,,,
Vcp,Fbln1,,Pla2g4a,,,,,,,,,,,,,,,,
Skp2,Zp1,,Pla2g4b,,,,,,,,,,,,,,,,
Skp2,Ecm1,,Pla2g4b,,,,,,,,,,,,,,,,
Skp2,Ecm1,,Pla2g4c,,,,,,,,,,,,,,,,
Skp2,Ecm1,,Pla2g4c,,,,,,,,,,,,,,,,
Skp2,Ecm1,,Pla2g4c,,,,,,,,,,,,,,,,
Skp2,Ecm1,,Pla2g4d,,,,,,,,,,,,,,,,
Ncapd2,Ecm1,,Pla2g4d,,,,,,,,,,,,,,,,
Ncapd2,Zpld1,,Pla2g4d,,,,,,,,,,,,,,,,
Ncapd2,Reln,,Pla2g4d,,,,,,,,,,,,,,,,
Ncapd2,Reln,,Pla2g4e,,,,,,,,,,,,,,,,
Ncapd2,Reln,,Pla2g4e,,,,,,,,,,,,,,,,
Ncapd2,Reln,,Pla2g4e,,,,,,,,,,,,,,,,
Tjp3,Acan,,Pla2g4f,,,,,,,,,,,,,,,,
Gli1,Acan,,Pla2g4f,,,,,,,,,,,,,,,,
Tlk2,Acan,,Pla2g4f,,,,,,,,,,,,,,,,
Dlgap5,Acan,,Pla2g4f,,,,,,,,,,,,,,,,
Dlgap5,Acan,,Pla2g5,,,,,,,,,,,,,,,,
Dlgap5,Acan,,Pla2g5,,,,,,,,,,,,,,,,
Gja1,Acan,,Pla2g5,,,,,,,,,,,,,,,,
Ccnb3,Spon1,,Pla2g5,,,,,,,,,,,,,,,,
Ccnb3,Spon1,,Pla2g6,,,,,,,,,,,,,,,,
Ccnb3,Spon1,,Pla2g7,,,,,,,,,,,,,,,,
Ccnb3,Thbs1,,Pla2g7,,,,,,,,,,,,,,,,
Ccnb3,Thbs1,,Pla2g7,,,,,,,,,,,,,,,,
Aaas,Thbs1,,Pla2g7,,,,,,,,,,,,,,,,
