cell_cycle_GO:0007049,extracellular_matrix_GO:0031012,epithelial_to_mesencyhmal_transition_GO:0001837,lipid_catabolic_process_GO:0016042,canonical_glycolysis_GO:0061621,glycolytic_process_GO:0006096,glucose_catabolic_process_GO:0006007,tricarboxylic_acid_cycle_GO:0006099,oxidative_phosphorylation_GO:0006119,fatty_acid_oxidation_GO:0019395,regulation_of_pyruvate_kinase_activity_GO.1903301,regulation_of_glucose_catabolic_process_to_lactate_via_pyruvate_GO.1904023,regulation_of_lipid_storage_GO.0010883,fatty_acid_homeostasis_GO.0055089,glucose_transmembrane_transport_GO.1904659,long-chain_fatty_acid_import_into_cell_GO.0044539,malonyl-CoA_metabolic_process_GO.2001293,response_to_unfolded_protein_GO.0006986,cellular_response_to_hypoxia_GO.0071456,response_to_type_I_interferon_GO.0034340
Tpx2,Vtn,Acvrl1,Abhd2,,Esrrb,,Ogdhl,Chchd10,Acadm,,,Mest,,Drd1,Slc27a4,,Clgn,Egr1,Irf7
Tpx2,Fmod,Bmpr1a,Abhd2,,Fbp1,,Pdha1,Coq7,Acadm,,,Mest,,Edn1,Slc27a4,,Comp,Eif4ebp1,Irf7
Tpx2,Col25a1,Strap,Abhd2,,Foxk1,,Pdha2,Coq9,Acadm,,,Msr1,,Ednra,Slc27a4,,Cops5,Epas1,Isg15
Tpx2,Col25a1,Vasn,Abhd2,,Foxk2,,Pdhb,Cox4i1,Acadm,,,Msr1,,Enpp1,Slc27a4,,Creb3,Epas1,Isg15
Tpx2,Col25a1,Pdpn,Abhd3,,Gale,,Sdha,Cox4i2,Acads,,,Mup1,,Erbb3,Slc27a5,,Creb3,Fabp1,Jak1
Xlr3a,Col25a1,Pdpn,Abhd4,,Galk1,,Sdha,Cox4i2,Acads,,,Nfkbia,,Erbb4,Slc27a5,,Creb3,Fam162a,Lsm14a
Llgl2,Alb,Fuz,Abhd5,,Galk1,,Sdhaf2,Cox5a,Acadvl,,,Nr1h2,,Erfe,Spx,,Creb3l1,Fam162a,Mavs
Llgl2,Notch2,Ell3,Abhd5,,Galt,,Sdhb,Cox5b,Acadvl,,,Nr1h2,,Esr1,Spx,,Creb3l1,Fam162a,Mettl3
Magi2,Nid1,Trip10,Abhd5,,Galt,,Sdhb,Cox6a1,Acadvl,,,Nr1h3,,Fabp5,Thbs1,,Creb3l2,Fmn2,Mmp12
Mapk6,Nid1,Serpinb3d,Abhd5,,Gapdh,,Sdhc,Cox6a2,Acadvl,,,Nr1h3,,Ffar4,,,Creb3l2,Fndc1,Mmp12
Plpp2,Nid1,Bcl9l,Abhd6,,Gapdh,,Sdhc,Cox7a1,Acat1,,,Osbpl8,,Fgf15,,,Creb3l3,Gata6,Mul1
Mir214,Nid1,Gja1,Abhd6,,Gapdhs,,Sdhd,Cox7a2,Acat2,,,Osbpl11,,Fgf21,,,Creb3l3,Gnb1,Myd88
Bop1,Nid1,Tcof1,Abhd6,,Gapdhs,,Sdhd,Cox7a2l,Acat3,,,Pla2g10,,Gh,,,Creb3l4,Gngt1,Nlrc5
Aspm,Nid1,Msx2,Abhd6,,Gapdhs,,Sucla2,Cox7a2l,Acox1,,,Plin2,,Gip,,,Creb3l4,Hif1a,Nlrc5
Aspm,Nid1,Msx1,Abhd6,,Gck,,Sucla2,Cox7c,Acox1,,,Plin3,,Gpc3,,,Crebrf,Hif1a,Nlrc5
Aspm,Nid1,Msx1,Abhd12,,Gck,,Suclg1,Cyc1,Acox1,,,Plin5,,Grb10,,,Crebrf,Hif1a,Nlrc5
Aspm,Nid1,Ppp2ca,Abhd12,,Gck,,Suclg1,Cycs,Acox1,,,Plin5,,Grk2,,,Crebrf,Hif1a,Oas1a
Aspm,Nid1,Hey1,Abhd12,,Git1,,Suclg2,Cycs,Acox1,,,Plin5,,Gsk3a,,,Dab2ip,Hif1a,Oas1a
Mir16-1,Nid1,Hey1,Abhd12,,Gm3839,,Suclg2,Cyct,Acox1,,,Plin5,,Hk2,,,Daxx,Hif1a,Oas1c
Rnf112,Nid1,Hey1,Abhd12,,Gm10358,,,Cyct,Acox1,,,Pnpla2,,Hnf1a,,,Ddit3,Hif1an,Oas1c
Rnf112,Nid1,Mad2l2,Abhd12,,Gm11214,,,Dguok,Acox2,,,Pnpla2,,Hnf1a,,,Ddit3,Hif1an,Oas1d
Cenpq,Nid1,Fam83d,Abhd12,,Gm12117,,,Dld,Acox2,,,Ppara,,Hnf1a,,,Ddit3,Hif3a,Oas1d
Cenpq,Nid1,Acvr1,Abhd12,,Gm15294,,,Dnajc15,Acox2,,,Ppara,,Hnf1a,,,Ddit3,Higd1a,Oas1e
Mir124a-1,Nid1,Smad3,Abhd12,,Gpd1,,,Dnajc30,Acox3,,,Ppara,,Igf1,,,Ddrgk1,Higd1a,Oas1e
Nupr1,Nid1,Ovol2,Abhd12,,Gpi1,,,Fxn,Acox3,,,Ppard,,Il1b,,,Ddrgk1,Hp1bp3,Oas1f
Nupr1,Nid1,Ovol2,Abhd12,,Gpi1,,,Fxn,Acox3,,,Pparg,,Inpp5k,,,Derl1,Hyou1,Oas1f
Nupr1,Mmp24,Gsc,Abhd12,,Gpi1,,,Gadd45gip1,Acoxl,,,Pparg,,Ins1,,,Derl1,Hyou1,Oas1g
Nupr1,Ltbp4,Twist1,Abhd12b,,Gpi1,,,Iscu,Acoxl,,,Pparg,,Ins2,,,Derl1,Hyou1,Oas1g
Becn1,Ltbp4,Twist1,Abhd12b,,Gpi1,,,Lexm,Acsbg2,,,Ptpn2,,Ins2,,,Derl1,Hyou1,Oas1h
Becn1,Ltbp4,Twist1,Abhd16a,,Gpi1,,,Mlxipl,Acsl5,,,Scarb1,,Insr,,,Derl2,Hyou1,Oas1h
Becn1,Ltbp4,Twist1,Abhd16a,,Hdac4,,,Msh2,Adh4,,,Scarb1,,Irs1,,,Derl2,Kcnd2,Oas2
Becn1,Ltbp4,Twist1,Abhd16a,,Hif1a,,,mt-Atp6,Adh4,,,Sirt1,,Irs2,,,Derl2,Kcnk2,Oas3
Cep76,Ltbp4,Tsc2,Abhd16a,,Hif1a,,,mt-Co1,Adh5,,,Srebf2,,Itln1,,,Derl3,Kcnk3,Ptpn2
Trnp1,Ltbp4,Pawr,Abhd16a,,Hk1,,,mt-Co2,Adh7,,,Srebf2,,Klf15,,,Derl3,Map2k1,Ptpn2
Trnp1,Ltbp4,Wnt16,Abhd16a,,Hk1,,,mt-Co3,Adipoq,,,Tmem135,,Lep,,,Dnajb9,Mgarp,Ptpn2
Axin2,Matn3,Cul7,Abhd16b,,Hk1,,,mt-Co3,Adipoq,,,Ttc39b,,Lmbrd1,,,Dnajc3,Mir199a-2,Rnf185
Axin2,Matn3,Clasp1,Abhd16b,,Hk1,,,mt-Cytb,Adipor1,,,Ttc39b,,Mapk14,,,Dnajc3,Mir214,Samhd1
Sycp1,Matn4,Kbtbd8,Acaa1a,,Hk2,,,mt-Nd1,Adipor1,,,Ttc39d,,Mef2a,,,Edem1,Mir668,Samhd1
Sycp1,Matn4,Pef1,Acaa1a,,Hk3,,,mt-Nd2,Adipor2,,,Vstm2a,,Met,,,Edem2,Mir874,Setd2
Sycp1,Matn4,Tmem100,Acaa1b,,Hkdc1,,,mt-Nd3,Akt1,,,Zc3h12a,,Mfsd4a,,,Edem3,Mtor,Shfl
Sycp1,Frem3,Isl1,Acaa2,,Htr2a,,,mt-Nd4,Akt2,,,Zc3h12a,,Mfsd4b1,,,Eif2a,Myc,Shmt2
Sycp1,Frem3,Hif1a,Acaa2,,Ier3,,,mt-Nd4,Alox12,,,,,Mfsd4b4,,,Eif2ak2,Ndnf,Shmt2
Sycp1,Frem3,Nkx2-1,Acacb,,Ifng,,,mt-Nd4l,Alox12,,,,,Mfsd4b5,,,Eif2ak3,Nfe2l2,Smpd1
Sycp1,Mfap1b,Clasp2,Acacb,,Igf1,,,mt-Nd5,Appl2,,,,,Mif,,,Eif2ak3,Nkx3-1,Sp100
Sycp1,Mfap1b,Flna,Acacb,,Il3,,,mt-Nd5,Auh,,,,,Myc,,,Eif2ak3,Nol3,Stat1
Sycp1,Mfap1b,Fgfr2,Acad11,,Ins2,,,mt-Nd6,Bdh2,,,,,Nfe2l2,,,Eif2ak3,Nol3,Stat1
Sycp1,Pkm,Fgfr1,Acadl,,Insr,,,Mtch2,C1qtnf2,,,,,Nr4a3,,,Eif2ak3,Nop53,Stat1
Sycp1,Adamts8,Vegfa,Acadl,,Jmjd8,,,Myc,C1qtnf9,,,,,Ocln,,,Eif2ak3,Notch1,Stat1
Sycp1,Adamts8,Wnt11,Acadl,,Khk,,,Myc,C1qtnf9,,,,,Ocln,,,Eif2ak4,Npepps,Stat1
Sycp1,Ache,Tiam1,Acadl,,Khk,,,Myog,Cd36,,,,,Oga,,,Ep300,Ogt,Stat2
Sycp1,Pzp,Bmp7,Acadl,,Mif,,,Ndufa7,Cnr1,,,,,Opn3,,,Ermp1,Oprd1,Stat2
Sycp1,Pzp,Gata3,Acadl,,Mlxipl,,,Ndufa7,Cpt1a,,,,,Osbpl8,,,Ern1,P4hb,Stat2
Sycp1,Adamts16,Bambi,Acadl,,Mlxipl,,,Ndufa8,Cpt1a,,,,,Ostn,,,Ern1,Pdk1,Stat2
Urgcp,Zp2,Erg,Acadm,,Mlxipl,,,Ndufa10,Cpt2,,,,,Pea15a,,,Ern1,Pdk3,Stat2
Alkbh4,Emid1,Epb41l5,Acadm,,Mpi,,,Ndufa10,Cpt2,,,,,Pid1,,,Ern1,Pgk1,Stat2
Cebpa,Emid1,Epb41l5,Acadm,,Mtch2,,,Ndufa12,Crat,,,,,Pid1,,,Ern1,Pik3cb,Sting1
Xlr3c,Emid1,Epha3,Acadm,,Myc,,,Ndufaf1,Crot,,,,,Pid1,,,Ern1,Pink1,Sting1
Klhl21,Cpn2,Fgf8,Acadm,,Myog,,,Ndufb6,Cygb,,,,,Pou4f2,,,Ern1,Pink1,Tbk1
Klhl21,Cpn2,Fgf8,Acadm,,Ncor1,,,Ndufb6,Cyp4v3,,,,,Prkca,,,Ern1,Pink1,Trex1
Pdxp,Gm5771,Tgfbr1,Acadm,,Nupr1,,,Ndufb6,Cyp4v3,,,,,Prkcb,,,Ern2,Plk3,Trex1
Pdxp,Fibcd1,Tgfbr1,Acadm,,Ogdh,,,Ndufb8,Cyp24a1,,,,,Prkcb,,,Ern2,Ppard,Trex1
Zfyve19,Oit3,Tgfbr1,Acads,,Ogt,,,Ndufb9,Dbi,,,,,Prkcd,,,Ero1a,Prkce,Trim6
Zfyve19,Gfod2,Adam15,Acads,,P2rx7,,,Ndufc2,Decr1,,,,,Prkci,,,Erp27,Pten,Trim6
Zfyve19,Gfod2,Heyl,Acads,,Pfkfb2,,,Ndufs1,Dgat1,,,,,Pth,,,Erp44,Ptgis,Trim41
Zfyve19,Nid2,Heyl,Acads,,Pfkl,,,Ndufs1,Dgat2,,,,,Ptpn11,,,Erp44,Rbpj,Trim56
Btc,Nid2,Ddx17,Acadvl,,Pfkl,,,Ndufs2,Echdc1,,,,,Rab4b,,,Faf2,Rgcc,Trim56
Btc,Nid2,Klhl12,Acadvl,,Pfkl,,,Ndufs2,Echdc2,,,,,Rap1a,,,Fbxo6,Rock2,Trim56
Btc,Nid2,Bmp2,Acadvl,,Pfkl,,,Ndufs2,Echs1,,,,,Rasa1,,,Ficd,Rora,Ttll12
Arf6,Nid2,Bmp2,Acadvl,,Pfkm,,,Ndufs3,Echs1,,,,,Repin1,,,Ficd,Rtn4,Tyk2
